Date,Open,High,Low,Close,Adj Close,Volume
2016-08-16,20.360300,20.360300,19.682600,19.901899,19.398186,2167094
2016-08-17,19.991501,20.091200,19.214199,19.523199,19.029068,2396678
2016-08-18,19.543100,19.662701,18.686001,18.686001,18.213062,2880127
2016-08-19,18.795601,19.284000,18.486700,18.935200,18.455952,1980056
2016-08-22,19.034800,19.034800,18.118000,18.237600,17.776007,2587930
2016-08-23,18.426901,18.845501,18.257500,18.586399,18.115976,1993402
2016-08-24,18.725901,19.044800,18.386999,19.034800,18.553030,3179649
2016-08-25,19.104601,19.124500,18.616301,18.735800,18.261599,1310371
2016-08-26,18.935200,19.563000,18.556499,18.945101,18.465603,3167909
2016-08-29,18.975000,19.602900,18.885300,19.563000,19.067863,1635280
2016-08-30,19.582899,19.602900,18.855400,19.513201,19.019321,1699699
2016-08-31,19.433500,19.493299,18.446800,19.164400,18.679352,4146047
2016-09-01,19.204201,19.493299,18.895300,19.383600,18.893005,4284118
2016-09-02,19.503201,19.842100,19.483299,19.842100,19.339897,1898879
2016-09-05,19.931801,19.981600,19.622801,19.981600,19.475866,677812
2016-09-06,19.981600,20.001499,19.642700,19.941700,19.436975,1368369
2016-09-08,19.981600,20.240700,19.672600,20.170900,19.660378,1979755
2016-09-09,20.131100,20.131100,19.363701,19.552999,19.058117,1947846
2016-09-12,19.313900,19.592899,18.895300,19.413500,18.922146,1358736
2016-09-13,19.154400,19.224199,18.566401,19.024900,18.543381,1726491
2016-09-14,19.094601,19.094601,18.636200,18.835501,18.358776,1581998
2016-09-15,19.034800,19.214199,18.676100,19.194300,18.708494,2420058
2016-09-16,19.124500,19.144400,18.606300,18.676100,18.203411,1935203
2016-09-19,18.815599,19.134501,18.486700,18.835501,18.358776,1210932
2016-09-20,19.004900,19.024900,18.566401,18.735800,18.261599,980244
2016-09-21,18.935200,19.393600,18.486700,19.363701,18.873606,1535941
2016-09-22,19.582899,19.951700,19.214199,19.523199,19.029068,2879726
2016-09-23,19.682600,19.872000,19.473301,19.533100,19.038719,3890977
2016-09-26,19.433500,19.582899,19.333799,19.582899,19.087257,1712142
2016-09-27,19.632799,19.822100,19.493299,19.682600,19.184433,1198690
